Date: 2010-03-17, Open: 5198.45, High: 5260.5, Low: 5177.15, SMA20: 5022.94, SMA50: 5028.95, RSI14: 91.46, Return: 0.65%, Output: Up
Date: 2018-04-23, Open: 10592.8, High: 10638.35, Low: 10514.95, SMA20: 10356.19, SMA50: 10366.07, RSI14: 77.38, Return: 0.2%, Output: Up
Date: 2018-04-24, Open: 10578.1, High: 10636.8, Low: 10569.0, SMA20: 10387.01, SMA50: 10368.83, RSI14: 95.55, Return: 0.28%, Output: Down
Date: 2018-04-25, Open: 10612.4, High: 10612.6, Low: 10536.45, SMA20: 10409.0, SMA50: 10368.7, RSI14: 82.25, Return: -0.41%, Output: Up
Date: 2018-04-26, Open: 10586.5, High: 10628.4, Low: 10559.65, SMA20: 10430.68, SMA50: 10371.96, RSI14: 83.97, Return: 0.45%, Output: Up
Date: 2018-04-27, Open: 10651.65, High: 10719.8, Low: 10647.55, SMA20: 10459.61, SMA50: 10375.01, RSI14: 84.92, Return: 0.7%, Output: Up
Date: 2018-04-30, Open: 10705.75, High: 10759.0, Low: 10704.6, SMA20: 10485.99, SMA50: 10379.78, RSI14: 85.69, Return: 0.44%, Output: Down
Date: 2018-05-02, Open: 10783.85, High: 10784.65, Low: 10689.8, SMA20: 10509.64, SMA50: 10383.23, RSI14: 81.44, Return: -0.2%, Output: Down
Date: 2018-05-03, Open: 10720.15, High: 10720.6, Low: 10647.45, SMA20: 10537.2, SMA50: 10387.78, RSI14: 73.24, Return: -0.36%, Output: Down
Date: 2018-05-04, Open: 10700.45, High: 10700.45, Low: 10601.6, SMA20: 10551.86, SMA50: 10392.57, RSI14: 63.37, Return: -0.57%, Output: Up
Date: 2018-05-07, Open: 10653.15, High: 10725.65, Low: 10635.65, SMA20: 10571.05, SMA50: 10399.67, RSI14: 66.58, Return: 0.92%, Output: Up
Date: 2018-05-08, Open: 10757.9, High: 10758.55, Low: 10689.4, SMA20: 10587.98, SMA50: 10406.08, RSI14: 65.47, Return: 0.02%, Output: Up
Date: 2018-05-09, Open: 10693.35, High: 10766.25, Low: 10689.85, SMA20: 10604.95, SMA50: 10413.26, RSI14: 69.67, Return: 0.22%, Output: Down
Date: 2018-05-10, Open: 10779.65, High: 10785.55, Low: 10705.0, SMA20: 10619.92, SMA50: 10417.77, RSI14: 64.17, Return: -0.23%, Output: Up
Date: 2018-05-11, Open: 10741.95, High: 10812.05, Low: 10724.45, SMA20: 10637.31, SMA50: 10422.25, RSI14: 69.47, Return: 0.84%, Output: Up
Date: 2018-05-14, Open: 10815.15, High: 10834.85, Low: 10774.75, SMA20: 10653.61, SMA50: 10427.3, RSI14: 68.43, Return: 0.0%, Output: Down
Date: 2018-05-15, Open: 10812.6, High: 10929.2, Low: 10781.4, SMA20: 10667.29, SMA50: 10433.48, RSI14: 66.25, Return: -0.04%, Output: Down
Date: 2018-05-16, Open: 10751.95, High: 10790.45, Low: 10699.7, SMA20: 10676.91, SMA50: 10439.13, RSI14: 64.35, Return: -0.56%, Output: Down
Date: 2018-05-17, Open: 10775.6, High: 10777.25, Low: 10664.5, SMA20: 10684.73, SMA50: 10445.61, RSI14: 55.36, Return: -0.54%, Output: Down
Date: 2018-05-18, Open: 10671.85, High: 10674.95, Low: 10589.1, SMA20: 10686.29, SMA50: 10452.55, RSI14: 42.23, Return: -0.81%, Output: Down
Date: 2018-05-21, Open: 10616.7, High: 10621.7, Low: 10505.8, SMA20: 10683.92, SMA50: 10459.8, RSI14: 32.86, Return: -0.75%, Output: Up
Date: 2018-05-22, Open: 10518.45, High: 10558.6, Low: 10490.55, SMA20: 10681.52, SMA50: 10465.68, RSI14: 36.01, Return: 0.19%, Output: Down
Date: 2018-05-23, Open: 10521.1, High: 10533.55, Low: 10417.8, SMA20: 10672.32, SMA50: 10469.75, RSI14: 32.6, Return: -1.01%, Output: Up
Date: 2018-05-24, Open: 10464.85, High: 10535.15, Low: 10419.8, SMA20: 10669.48, SMA50: 10471.6, RSI14: 42.93, Return: 0.8%, Output: Up
Date: 2018-05-25, Open: 10533.05, High: 10628.05, Low: 10524.0, SMA20: 10668.85, SMA50: 10475.17, RSI14: 42.47, Return: 0.87%, Output: Up
Date: 2018-05-28, Open: 10648.35, High: 10709.8, Low: 10640.55, SMA20: 10668.67, SMA50: 10480.72, RSI14: 48.21, Return: 0.79%, Output: Down
Date: 2018-05-29, Open: 10689.4, High: 10717.25, Low: 10616.1, SMA20: 10663.37, SMA50: 10486.18, RSI14: 43.59, Return: -0.52%, Output: Down
Date: 2018-05-30, Open: 10579.0, High: 10648.7, Low: 10558.45, SMA20: 10658.18, SMA50: 10494.57, RSI14: 43.91, Return: -0.18%, Output: Up
Date: 2018-05-31, Open: 10670.1, High: 10763.8, Low: 10620.4, SMA20: 10661.01, SMA50: 10507.41, RSI14: 45.96, Return: 1.15%, Output: Down
Date: 2018-06-01, Open: 10738.45, High: 10764.75, Low: 10681.5, SMA20: 10664.9, SMA50: 10518.84, RSI14: 43.94, Return: -0.37%, Output: Down
Date: 2018-06-04, Open: 10765.95, High: 10770.3, Low: 10618.35, SMA20: 10660.55, SMA50: 10528.31, RSI14: 41.1, Return: -0.63%, Output: Down
Date: 2018-06-05, Open: 10630.7, High: 10633.15, Low: 10550.9, SMA20: 10654.32, SMA50: 10537.88, RSI14: 42.2, Return: -0.33%, Output: Up
Date: 2018-06-06, Open: 10603.45, High: 10698.35, Low: 10587.5, SMA20: 10651.47, SMA50: 10551.61, RSI14: 50.1, Return: 0.86%, Output: Up
Date: 2018-06-07, Open: 10722.6, High: 10818.0, Low: 10722.6, SMA20: 10654.06, SMA50: 10564.36, RSI14: 58.79, Return: 0.78%, Output: Down
Date: 2018-06-08, Open: 10736.4, High: 10779.45, Low: 10709.05, SMA20: 10652.12, SMA50: 10576.03, RSI14: 63.95, Return: -0.01%, Output: Up
Date: 2018-06-11, Open: 10781.85, High: 10850.55, Low: 10777.05, SMA20: 10651.14, SMA50: 10589.5, RSI14: 63.92, Return: 0.18%, Output: Up
Date: 2018-06-12, Open: 10816.15, High: 10856.55, Low: 10789.4, SMA20: 10653.19, SMA50: 10602.12, RSI14: 74.31, Return: 0.52%, Output: Up
Date: 2018-06-13, Open: 10887.5, High: 10893.25, Low: 10842.65, SMA20: 10658.97, SMA50: 10614.35, RSI14: 72.01, Return: 0.13%, Output: Down
Date: 2018-06-14, Open: 10832.9, High: 10833.7, Low: 10773.55, SMA20: 10665.23, SMA50: 10627.95, RSI14: 63.78, Return: -0.45%, Output: Up
Date: 2018-06-15, Open: 10808.65, High: 10834.0, Low: 10755.4, SMA20: 10676.3, SMA50: 10637.8, RSI14: 59.74, Return: 0.09%, Output: Down
Date: 2018-06-18, Open: 10830.2, High: 10830.2, Low: 10787.35, SMA20: 10690.46, SMA50: 10647.16, RSI14: 63.33, Return: -0.17%, Output: Down
Date: 2018-06-19, Open: 10789.45, High: 10789.45, Low: 10701.2, SMA20: 10699.14, SMA50: 10653.78, RSI14: 56.91, Return: -0.83%, Output: Up
Date: 2018-06-20, Open: 10734.65, High: 10781.8, Low: 10724.05, SMA20: 10716.23, SMA50: 10661.18, RSI14: 52.83, Return: 0.58%, Output: Down
Date: 2018-06-21, Open: 10808.45, High: 10809.6, Low: 10725.9, SMA20: 10727.59, SMA50: 10667.66, RSI14: 53.59, Return: -0.29%, Output: Up
Date: 2018-06-22, Open: 10742.7, High: 10837.0, Low: 10710.45, SMA20: 10738.42, SMA50: 10674.92, RSI14: 65.13, Return: 0.75%, Output: Down
Date: 2018-06-25, Open: 10822.9, High: 10831.05, Low: 10753.05, SMA20: 10742.11, SMA50: 10680.56, RSI14: 62.76, Return: -0.55%, Output: Up
Date: 2018-06-26, Open: 10742.7, High: 10805.25, Low: 10732.55, SMA20: 10748.91, SMA50: 10685.38, RSI14: 57.3, Return: 0.06%, Output: Down
Date: 2018-06-27, Open: 10785.5, High: 10785.5, Low: 10652.4, SMA20: 10751.76, SMA50: 10687.83, RSI14: 41.82, Return: -0.91%, Output: Down
Date: 2018-06-28, Open: 10660.8, High: 10674.2, Low: 10557.7, SMA20: 10744.41, SMA50: 10689.09, RSI14: 36.76, Return: -0.77%, Output: Up
Date: 2018-06-29, Open: 10612.85, High: 10723.05, Low: 10612.35, SMA20: 10745.31, SMA50: 10692.07, RSI14: 45.34, Return: 1.18%, Output: Down
Date: 2018-07-02, Open: 10732.35, High: 10736.15, Low: 10604.65, SMA20: 10746.75, SMA50: 10693.93, RSI14: 38.12, Return: -0.53%, Output: Up
Date: 2018-07-03, Open: 10668.6, High: 10713.3, Low: 10630.25, SMA20: 10752.09, SMA50: 10696.24, RSI14: 40.32, Return: 0.4%, Output: Up
Date: 2018-07-04, Open: 10715.0, High: 10777.15, Low: 10677.75, SMA20: 10756.35, SMA50: 10699.35, RSI14: 47.71, Return: 0.65%, Output: Down
Date: 2018-07-05, Open: 10786.05, High: 10786.05, Low: 10726.25, SMA20: 10755.42, SMA50: 10702.93, RSI14: 45.96, Return: -0.19%, Output: Up
Date: 2018-07-06, Open: 10744.15, High: 10816.35, Low: 10735.05, SMA20: 10755.67, SMA50: 10706.03, RSI14: 48.39, Return: 0.21%, Output: Up
Date: 2018-07-09, Open: 10838.3, High: 10860.35, Low: 10807.15, SMA20: 10758.97, SMA50: 10709.24, RSI14: 58.5, Return: 0.74%, Output: Up
Date: 2018-07-10, Open: 10902.75, High: 10956.9, Low: 10876.65, SMA20: 10764.19, SMA50: 10713.4, RSI14: 60.07, Return: 0.87%, Output: Up
Date: 2018-07-11, Open: 10956.4, High: 10976.65, Low: 10923.0, SMA20: 10768.77, SMA50: 10718.0, RSI14: 62.33, Return: 0.01%, Output: Up
Date: 2018-07-12, Open: 11006.95, High: 11078.3, Low: 10999.65, SMA20: 10779.53, SMA50: 10724.88, RSI14: 62.06, Return: 0.68%, Output: Down
Date: 2018-07-13, Open: 11056.9, High: 11071.35, Low: 10999.75, SMA20: 10789.59, SMA50: 10732.89, RSI14: 66.45, Return: -0.04%, Output: Down
Date: 2018-07-16, Open: 11018.95, High: 11019.5, Low: 10926.25, SMA20: 10796.44, SMA50: 10737.32, RSI14: 59.81, Return: -0.74%, Output: Up
Date: 2018-07-17, Open: 10939.65, High: 11018.5, Low: 10925.6, SMA20: 10811.32, SMA50: 10743.12, RSI14: 70.32, Return: 0.65%, Output: Down
Date: 2018-07-18, Open: 11060.2, High: 11076.2, Low: 10956.3, SMA20: 10821.74, SMA50: 10747.9, RSI14: 75.3, Return: -0.25%, Output: Down
Date: 2018-07-19, Open: 10999.5, High: 11006.5, Low: 10935.45, SMA20: 10832.54, SMA50: 10752.71, RSI14: 68.07, Return: -0.21%, Output: Up
Date: 2018-07-20, Open: 10963.5, High: 11030.25, Low: 10946.2, SMA20: 10841.96, SMA50: 10756.78, RSI14: 76.42, Return: 0.48%, Output: Up
Date: 2018-07-23, Open: 11019.85, High: 11093.4, Low: 11010.95, SMA20: 10858.07, SMA50: 10762.34, RSI14: 77.5, Return: 0.68%, Output: Up
Date: 2018-07-24, Open: 11109.0, High: 11143.4, Low: 11092.5, SMA20: 10876.33, SMA50: 10768.99, RSI14: 76.82, Return: 0.45%, Output: Down
Date: 2018-07-25, Open: 11148.4, High: 11157.15, Low: 11113.25, SMA20: 10899.36, SMA50: 10776.81, RSI14: 78.89, Return: -0.02%, Output: Up
Date: 2018-07-26, Open: 11132.95, High: 11185.85, Low: 11125.7, SMA20: 10928.27, SMA50: 10786.5, RSI14: 79.28, Return: 0.32%, Output: Up
Date: 2018-07-27, Open: 11232.75, High: 11283.4, Low: 11210.25, SMA20: 10956.47, SMA50: 10800.14, RSI14: 80.19, Return: 0.99%, Output: Up
Date: 2018-07-30, Open: 11296.65, High: 11328.1, Low: 11261.45, SMA20: 10989.58, SMA50: 10816.2, RSI14: 78.57, Return: 0.37%, Output: Up
Date: 2018-07-31, Open: 11311.05, High: 11366.0, Low: 11267.75, SMA20: 11022.41, SMA50: 10832.59, RSI14: 79.69, Return: 0.33%, Output: Down
Date: 2018-08-01, Open: 11359.8, High: 11390.55, Low: 11313.55, SMA20: 11051.23, SMA50: 10850.91, RSI14: 75.93, Return: -0.09%, Output: Down
Date: 2018-08-02, Open: 11328.9, High: 11328.9, Low: 11234.95, SMA20: 11075.98, SMA50: 10865.53, RSI14: 65.68, Return: -0.89%, Output: Up
Date: 2018-08-03, Open: 11297.8, High: 11368.0, Low: 11294.55, SMA20: 11105.38, SMA50: 10880.64, RSI14: 78.11, Return: 1.03%, Output: Up
Date: 2018-08-06, Open: 11401.5, High: 11427.65, Low: 11370.6, SMA20: 11132.09, SMA50: 10894.61, RSI14: 76.73, Return: 0.23%, Output: Up
Date: 2018-08-07, Open: 11423.15, High: 11428.95, Low: 11359.7, SMA20: 11154.2, SMA50: 10909.73, RSI14: 79.9, Return: 0.02%, Output: Up
Date: 2018-08-08, Open: 11412.5, High: 11459.95, Low: 11379.3, SMA20: 11179.29, SMA50: 10926.45, RSI14: 84.18, Return: 0.53%, Output: Up
Date: 2018-08-09, Open: 11493.25, High: 11495.2, Low: 11454.1, SMA20: 11201.66, SMA50: 10941.14, RSI14: 83.43, Return: 0.18%, Output: Down
Date: 2018-08-10, Open: 11474.95, High: 11478.75, Low: 11419.65, SMA20: 11222.19, SMA50: 10955.8, RSI14: 76.3, Return: -0.36%, Output: Down
Date: 2018-08-13, Open: 11369.6, High: 11406.3, Low: 11340.3, SMA20: 11243.14, SMA50: 10970.35, RSI14: 66.29, Return: -0.65%, Output: Up
Date: 2018-08-14, Open: 11381.7, High: 11452.45, Low: 11370.8, SMA20: 11264.49, SMA50: 10987.19, RSI14: 70.03, Return: 0.7%, Output: Down
Date: 2018-08-16, Open: 11397.15, High: 11449.85, Low: 11366.25, SMA20: 11284.72, SMA50: 11001.19, RSI14: 64.11, Return: -0.44%, Output: Up
Date: 2018-08-17, Open: 11437.15, High: 11486.45, Low: 11431.8, SMA20: 11310.4, SMA50: 11015.24, RSI14: 62.9, Return: 0.75%, Output: Up
Date: 2018-08-20, Open: 11502.1, High: 11565.3, Low: 11499.65, SMA20: 11337.48, SMA50: 11030.92, RSI14: 64.77, Return: 0.71%, Output: Up
Date: 2018-08-21, Open: 11576.2, High: 11581.75, Low: 11539.6, SMA20: 11361.79, SMA50: 11046.6, RSI14: 63.96, Return: 0.17%, Output: Up
Date: 2018-08-23, Open: 11620.7, High: 11620.7, Low: 11546.7, SMA20: 11384.21, SMA50: 11061.4, RSI14: 65.37, Return: 0.1%, Output: Down
Date: 2018-08-24, Open: 11566.6, High: 11604.6, Low: 11532.0, SMA20: 11405.46, SMA50: 11075.41, RSI14: 72.52, Return: -0.22%, Output: Up
Date: 2018-08-27, Open: 11605.85, High: 11700.95, Low: 11595.6, SMA20: 11431.7, SMA50: 11093.09, RSI14: 73.24, Return: 1.17%, Output: Up
Date: 2018-08-28, Open: 11731.95, High: 11760.2, Low: 11710.5, SMA20: 11454.7, SMA50: 11111.5, RSI14: 73.98, Return: 0.4%, Output: Down
Date: 2018-08-29, Open: 11744.95, High: 11753.2, Low: 11678.85, SMA20: 11473.32, SMA50: 11129.34, RSI14: 69.46, Return: -0.4%, Output: Down
Date: 2018-08-30, Open: 11694.75, High: 11698.8, Low: 11639.7, SMA20: 11489.34, SMA50: 11148.67, RSI14: 65.5, Return: -0.13%, Output: Up
Date: 2018-08-31, Open: 11675.85, High: 11727.65, Low: 11640.1, SMA20: 11506.05, SMA50: 11166.84, RSI14: 64.68, Return: 0.03%, Output: Down
Date: 2018-09-03, Open: 11751.8, High: 11751.8, Low: 11567.4, SMA20: 11522.93, SMA50: 11183.67, RSI14: 59.91, Return: -0.84%, Output: Down
Date: 2018-09-04, Open: 11598.75, High: 11602.55, Low: 11496.85, SMA20: 11530.91, SMA50: 11197.64, RSI14: 60.83, Return: -0.54%, Output: Down
Date: 2018-09-05, Open: 11514.85, High: 11542.65, Low: 11393.85, SMA20: 11535.4, SMA50: 11211.92, RSI14: 52.89, Return: -0.38%, Output: Up
Date: 2018-09-06, Open: 11514.15, High: 11562.25, Low: 11436.05, SMA20: 11542.77, SMA50: 11227.28, RSI14: 60.35, Return: 0.52%, Output: Up
Date: 2018-09-07, Open: 11558.25, High: 11603.0, Low: 11484.4, SMA20: 11549.73, SMA50: 11245.63, RSI14: 58.45, Return: 0.45%, Output: Down
Date: 2018-09-10, Open: 11570.25, High: 11573.0, Low: 11427.3, SMA20: 11548.1, SMA50: 11262.61, RSI14: 42.62, Return: -1.3%, Output: Down
Date: 2018-09-11, Open: 11476.85, High: 11479.4, Low: 11274.0, SMA20: 11541.0, SMA50: 11274.08, RSI14: 34.28, Return: -1.32%, Output: Up
Date: 2018-09-12, Open: 11340.1, High: 11380.75, Low: 11250.2, SMA20: 11541.71, SMA50: 11288.33, RSI14: 39.05, Return: 0.73%, Output: Up
Date: 2018-09-14, Open: 11443.5, High: 11523.25, Low: 11430.55, SMA20: 11545.71, SMA50: 11304.64, RSI14: 48.08, Return: 1.28%, Output: Down
Date: 2018-09-17, Open: 11464.95, High: 11464.95, Low: 11366.9, SMA20: 11545.35, SMA50: 11316.79, RSI14: 35.65, Return: -1.19%, Output: Down
Date: 2018-09-18, Open: 11381.55, High: 11411.45, Low: 11268.95, SMA20: 11535.76, SMA50: 11327.38, RSI14: 29.96, Return: -0.87%, Output: Down
Date: 2018-09-19, Open: 11326.65, High: 11332.05, Low: 11210.9, SMA20: 11519.89, SMA50: 11336.61, RSI14: 30.01, Return: -0.39%, Output: Down
Date: 2018-09-21, Open: 11271.3, High: 11346.8, Low: 10866.45, SMA20: 11498.49, SMA50: 11342.41, RSI14: 28.14, Return: -0.81%, Output: Down
Date: 2018-09-24, Open: 11164.4, High: 11170.15, Low: 10943.6, SMA20: 11467.73, SMA50: 11342.82, RSI14: 24.4, Return: -1.58%, Output: Up
Date: 2018-09-25, Open: 10969.95, High: 11080.6, Low: 10882.85, SMA20: 11443.25, SMA50: 11345.2, RSI14: 31.54, Return: 0.91%, Output: Down
Date: 2018-09-26, Open: 11145.55, High: 11145.55, Low: 10993.05, SMA20: 11411.34, SMA50: 11345.81, RSI14: 32.67, Return: -0.12%, Output: Down
Date: 2018-09-27, Open: 11079.8, High: 11089.45, Low: 10953.35, SMA20: 11373.29, SMA50: 11344.98, RSI14: 31.9, Return: -0.69%, Output: Down
Date: 2018-09-28, Open: 11008.1, High: 11034.1, Low: 10850.3, SMA20: 11335.22, SMA50: 11344.86, RSI14: 27.81, Return: -0.43%, Output: Up
Date: 2018-10-01, Open: 10930.9, High: 11035.65, Low: 10821.55, SMA20: 11301.79, SMA50: 11344.86, RSI14: 29.14, Return: 0.71%, Output: Down
Date: 2018-10-03, Open: 10982.7, High: 10989.05, Low: 10843.75, SMA20: 11260.68, SMA50: 11342.42, RSI14: 29.16, Return: -1.36%, Output: Down
Date: 2018-10-04, Open: 10754.7, High: 10754.7, Low: 10547.25, SMA20: 11211.52, SMA50: 11335.26, RSI14: 27.05, Return: -2.39%, Output: Down
Date: 2018-10-05, Open: 10514.1, High: 10540.65, Low: 10261.9, SMA20: 11151.33, SMA50: 11321.39, RSI14: 19.01, Return: -2.67%, Output: Up
Date: 2018-10-08, Open: 10310.15, High: 10398.35, Low: 10198.4, SMA20: 11094.89, SMA50: 11306.65, RSI14: 13.21, Return: 0.31%, Output: Down
Date: 2018-10-09, Open: 10390.3, High: 10397.6, Low: 10279.35, SMA20: 11033.09, SMA50: 11289.99, RSI14: 14.01, Return: -0.45%, Output: Up
Date: 2018-10-10, Open: 10331.85, High: 10482.35, Low: 10318.25, SMA20: 10976.64, SMA50: 11276.55, RSI14: 23.69, Return: 1.54%, Output: Down
Date: 2018-10-11, Open: 10169.8, High: 10335.95, Low: 10138.6, SMA20: 10916.47, SMA50: 11257.9, RSI14: 21.22, Return: -2.16%, Output: Up
Date: 2018-10-12, Open: 10331.55, High: 10492.45, Low: 10322.15, SMA20: 10875.72, SMA50: 11241.78, RSI14: 32.2, Return: 2.32%, Output: Up
Date: 2018-10-15, Open: 10524.2, High: 10526.3, Low: 10410.15, SMA20: 10832.85, SMA50: 11225.64, RSI14: 36.99, Return: 0.38%, Output: Up
Date: 2018-10-16, Open: 10550.15, High: 10604.9, Low: 10525.3, SMA20: 10786.33, SMA50: 11210.2, RSI14: 35.97, Return: 0.69%, Output: Down
Date: 2018-10-17, Open: 10688.7, High: 10710.15, Low: 10436.45, SMA20: 10740.09, SMA50: 11192.34, RSI14: 33.66, Return: -1.24%, Output: Down
Date: 2018-10-19, Open: 10339.7, High: 10380.1, Low: 10249.6, SMA20: 10691.33, SMA50: 11173.52, RSI14: 32.37, Return: -1.43%, Output: Down
Date: 2018-10-22, Open: 10405.85, High: 10408.55, Low: 10224.0, SMA20: 10641.87, SMA50: 11151.21, RSI14: 32.18, Return: -0.57%, Output: Down
Date: 2018-10-23, Open: 10152.6, High: 10222.1, Low: 10102.35, SMA20: 10592.06, SMA50: 11126.4, RSI14: 27.83, Return: -0.96%, Output: Up
Date: 2018-10-24, Open: 10278.15, High: 10290.65, Low: 10126.7, SMA20: 10554.92, SMA50: 11103.11, RSI14: 33.07, Return: 0.77%, Output: Down
Date: 2018-10-25, Open: 10135.05, High: 10166.6, Low: 10079.3, SMA20: 10507.8, SMA50: 11076.6, RSI14: 36.14, Return: -0.98%, Output: Down
Date: 2018-10-26, Open: 10122.35, High: 10128.85, Low: 10004.55, SMA20: 10456.61, SMA50: 11047.79, RSI14: 40.6, Return: -0.94%, Output: Up
Date: 2018-10-29, Open: 10078.1, High: 10275.3, Low: 10020.35, SMA20: 10420.27, SMA50: 11024.22, RSI14: 47.16, Return: 2.2%, Output: Down
Date: 2018-10-30, Open: 10239.4, High: 10285.1, Low: 10175.35, SMA20: 10383.67, SMA50: 11001.07, RSI14: 47.01, Return: -0.51%, Output: Up
Date: 2018-10-31, Open: 10209.55, High: 10396.0, Low: 10105.1, SMA20: 10352.58, SMA50: 10980.1, RSI14: 47.9, Return: 1.85%, Output: Down
Date: 2018-11-01, Open: 10441.7, High: 10441.9, Low: 10341.9, SMA20: 10328.69, SMA50: 10960.01, RSI14: 54.77, Return: -0.06%, Output: Up
Date: 2018-11-02, Open: 10462.3, High: 10606.95, Low: 10457.7, SMA20: 10326.38, SMA50: 10941.65, RSI14: 52.75, Return: 1.66%, Output: Down
Date: 2018-11-05, Open: 10558.75, High: 10558.8, Low: 10477.0, SMA20: 10336.76, SMA50: 10921.1, RSI14: 50.4, Return: -0.27%, Output: Up
Date: 2018-11-06, Open: 10552.0, High: 10600.25, Low: 10491.45, SMA20: 10345.86, SMA50: 10900.28, RSI14: 48.02, Return: 0.06%, Output: Up
Date: 2018-11-07, Open: 10614.45, High: 10616.45, Low: 10582.3, SMA20: 10360.73, SMA50: 10880.59, RSI14: 55.5, Return: 0.65%, Output: Down
Date: 2018-11-09, Open: 10614.7, High: 10619.55, Low: 10544.85, SMA20: 10366.98, SMA50: 10861.16, RSI14: 61.87, Return: -0.12%, Output: Down
Date: 2018-11-12, Open: 10607.8, High: 10645.5, Low: 10464.05, SMA20: 10379.36, SMA50: 10836.96, RSI14: 59.62, Return: -0.97%, Output: Up
Date: 2018-11-13, Open: 10451.9, High: 10596.25, Low: 10440.55, SMA20: 10384.86, SMA50: 10813.84, RSI14: 67.67, Return: 0.96%, Output: Down
Date: 2018-11-14, Open: 10634.9, High: 10651.6, Low: 10532.7, SMA20: 10388.05, SMA50: 10791.53, RSI14: 65.14, Return: -0.06%, Output: Up
Date: 2018-11-15, Open: 10580.6, High: 10646.5, Low: 10557.5, SMA20: 10389.65, SMA50: 10770.33, RSI14: 72.32, Return: 0.38%, Output: Up
Date: 2018-11-16, Open: 10644.0, High: 10695.15, Low: 10631.15, SMA20: 10401.1, SMA50: 10750.36, RSI14: 80.41, Return: 0.62%, Output: Up
Date: 2018-11-19, Open: 10731.25, High: 10774.7, Low: 10688.8, SMA20: 10424.1, SMA50: 10733.98, RSI14: 77.48, Return: 0.76%, Output: Down
Date: 2018-11-20, Open: 10740.1, High: 10740.85, Low: 10640.85, SMA20: 10444.64, SMA50: 10716.7, RSI14: 73.18, Return: -1.0%, Output: Down
Date: 2018-11-21, Open: 10670.95, High: 10671.3, Low: 10562.35, SMA20: 10467.31, SMA50: 10699.16, RSI14: 62.48, Return: -0.53%, Output: Down
Date: 2018-11-22, Open: 10612.65, High: 10646.25, Low: 10512.0, SMA20: 10482.41, SMA50: 10678.96, RSI14: 57.93, Return: -0.69%, Output: Up
Date: 2018-11-26, Open: 10568.3, High: 10637.8, Low: 10489.75, SMA20: 10507.59, SMA50: 10659.75, RSI14: 54.44, Return: 0.97%, Output: Up
Date: 2018-11-27, Open: 10621.45, High: 10695.15, Low: 10596.35, SMA20: 10540.37, SMA50: 10644.7, RSI14: 59.18, Return: 0.54%, Output: Up
Date: 2018-11-28, Open: 10708.75, High: 10757.8, Low: 10699.85, SMA20: 10564.27, SMA50: 10633.52, RSI14: 60.84, Return: 0.4%, Output: Up
Date: 2018-11-29, Open: 10808.7, High: 10883.05, Low: 10782.35, SMA20: 10597.29, SMA50: 10623.3, RSI14: 63.3, Return: 1.21%, Output: Up
Date: 2018-11-30, Open: 10892.1, High: 10922.45, Low: 10835.1, SMA20: 10621.79, SMA50: 10610.53, RSI14: 64.83, Return: 0.17%, Output: Up
Date: 2018-12-03, Open: 10930.7, High: 10941.2, Low: 10845.35, SMA20: 10646.96, SMA50: 10600.65, RSI14: 72.63, Return: 0.06%, Output: Down
Date: 2018-12-04, Open: 10877.1, High: 10890.95, Low: 10833.35, SMA20: 10662.78, SMA50: 10592.46, RSI14: 67.91, Return: -0.13%, Output: Down
Date: 2018-12-05, Open: 10820.45, High: 10821.05, Low: 10747.95, SMA20: 10675.73, SMA50: 10583.43, RSI14: 61.72, Return: -0.8%, Output: Down
Date: 2018-12-06, Open: 10718.15, High: 10722.65, Low: 10588.25, SMA20: 10679.29, SMA50: 10572.6, RSI14: 49.24, Return: -1.69%, Output: Up
Date: 2018-12-07, Open: 10644.8, High: 10704.55, Low: 10599.35, SMA20: 10684.05, SMA50: 10567.12, RSI14: 50.55, Return: 0.87%, Output: Down
Date: 2018-12-10, Open: 10508.7, High: 10558.85, Low: 10474.95, SMA20: 10679.21, SMA50: 10555.54, RSI14: 38.29, Return: -1.92%, Output: Up
Date: 2018-12-11, Open: 10350.05, High: 10567.15, Low: 10333.85, SMA20: 10682.56, SMA50: 10545.45, RSI14: 45.25, Return: 0.58%, Output: Up
Date: 2018-12-12, Open: 10591.0, High: 10752.2, Low: 10560.8, SMA20: 10690.32, SMA50: 10540.65, RSI14: 55.46, Return: 1.79%, Output: Up
Date: 2018-12-13, Open: 10810.75, High: 10838.6, Low: 10749.5, SMA20: 10701.08, SMA50: 10537.87, RSI14: 60.67, Return: 0.5%, Output: Up
Date: 2018-12-14, Open: 10784.5, High: 10815.75, Low: 10752.1, SMA20: 10710.52, SMA50: 10533.82, RSI14: 57.67, Return: 0.13%, Output: Up
Date: 2018-12-17, Open: 10853.2, High: 10900.35, Low: 10844.85, SMA20: 10720.82, SMA50: 10534.42, RSI14: 58.6, Return: 0.77%, Output: Up
Date: 2018-12-18, Open: 10850.9, High: 10915.4, Low: 10819.1, SMA20: 10728.09, SMA50: 10540.61, RSI14: 57.78, Return: 0.19%, Output: Up
Date: 2018-12-19, Open: 10930.55, High: 10985.15, Low: 10928.0, SMA20: 10743.64, SMA50: 10553.62, RSI14: 55.01, Return: 0.54%, Output: Down
Date: 2018-12-20, Open: 10885.2, High: 10962.55, Low: 10880.05, SMA20: 10761.23, SMA50: 10565.7, RSI14: 53.46, Return: -0.14%, Output: Down
